Name,United States of America,Chile,China,Democratic Republic of the Congo,Peru
2013, 1 250 , 5 780 , 1 600 , 970 , 1 380 
2014, 1 360 , 5 750 , 1 760 , 1 030 , 1 380 
2015, 1 380 , 5 760 , 1 710 , 1 020 , 1 700 
2016, 1 430 , 5 550 , 1 900 , 846 , 2 350 
2017, 1 260 , 5 500 , 1 710 , 1 090 , 2 450 
2018, 1 220 , 5 830 , 1 590 , 1 230 , 2 440 
2019, 1 260 , 5 790 , 1 680 , 1 290 , 2 460 
2020, 1 200 , 5 730 , 1 720 , 1 600 , 2 150 
2021, 1 230 , 5 620 , 1 910 , 1 740 , 2 300 
2022, 1 230 , 5 330 , 1 940 , 2 350 , 2 450 
2023, 1 130 , 5 250 , 1 820 , 2 930 , 2 760 
2024, 1 100 , 5 300 , 1 800 , 3 300 , 2 600
